"SRC","EPSG","Hemisferio"
"Anguilla 1957 / British West Indies Grid",2000,"unknown"
"Antigua 1943 / British West Indies Grid",2001,"unknown"
"Dominica 1945 / British West Indies Grid",2002,"unknown"
"Grenada 1953 / British West Indies Grid",2003,"unknown"
"Montserrat 1958 / British West Indies Grid",2004,"unknown"
"St. Kitts 1955 / British West Indies Grid",2005,"unknown"
"St. Lucia 1955 / British West Indies Grid",2006,"unknown"
"St. Vincent 45 / British West Indies Grid",2007,"unknown"
"NAD27(CGQ77) / SCoPQ zone 3",2009,"unknown"
"NAD27(CGQ77) / SCoPQ zone 4",2010,"unknown"
"NAD27(CGQ77) / SCoPQ zone 5",2011,"unknown"
"NAD27(CGQ77) / SCoPQ zone 6",2012,"unknown"
"NAD27(CGQ77) / SCoPQ zone 7",2013,"unknown"
"NAD27(CGQ77) / SCoPQ zone 8",2014,"unknown"
"NAD27(CGQ77) / SCoPQ zone 9",2015,"unknown"
"NAD27(CGQ77) / SCoPQ zone 10",2016,"unknown"
"NAD27(76) / MTM zone 8",2017,"unknown"
"NAD27(76) / MTM zone 9",2018,"unknown"
"NAD27(76) / MTM zone 10",2019,"unknown"
"NAD27(76) / MTM zone 11",2020,"unknown"
"NAD27(76) / MTM zone 12",2021,"unknown"
"NAD27(76) / MTM zone 13",2022,"unknown"
"NAD27(76) / MTM zone 14",2023,"unknown"
"NAD27(76) / MTM zone 15",2024,"unknown"
"NAD27(76) / MTM zone 16",2025,"unknown"
"NAD27(76) / MTM zone 17",2026,"unknown"
"NAD27(76) / UTM zone 15N",2027,"unknown"
"NAD27(76) / UTM zone 16N",2028,"unknown"
"NAD27(76) / UTM zone 17N",2029,"unknown"
"NAD27(76) / UTM zone 18N",2030,"unknown"
"NAD27(CGQ77) / UTM zone 17N",2031,"unknown"
"NAD27(CGQ77) / UTM zone 18N",2032,"unknown"
"NAD27(CGQ77) / UTM zone 19N",2033,"unknown"
"NAD27(CGQ77) / UTM zone 20N",2034,"unknown"
"NAD27(CGQ77) / UTM zone 21N",2035,"unknown"
"Israel 1993 / Israeli TM Grid",2039,"unknown"
"Locodjo 1965 / UTM zone 30N",2040,"unknown"
"Abidjan 1987 / UTM zone 30N",2041,"unknown"
"Locodjo 1965 / UTM zone 29N",2042,"unknown"
"Abidjan 1987 / UTM zone 29N",2043,"unknown"
"Hanoi 1972 / Gauss-Kruger zone 18",2044,"unknown"
"Hanoi 1972 / Gauss-Kruger zone 19",2045,"unknown"
"Hartebeesthoek94 / Lo15",2046,"unknown"
"Hartebeesthoek94 / Lo17",2047,"unknown"
"Hartebeesthoek94 / Lo19",2048,"unknown"
"Hartebeesthoek94 / Lo21",2049,"unknown"
"Hartebeesthoek94 / Lo23",2050,"unknown"
"Hartebeesthoek94 / Lo25",2051,"unknown"
"Hartebeesthoek94 / Lo27",2052,"unknown"
"Hartebeesthoek94 / Lo29",2053,"unknown"
"Hartebeesthoek94 / Lo31",2054,"unknown"
"Hartebeesthoek94 / Lo33",2055,"unknown"
"CH1903+ / LV95",2056,"unknown"
"Rassadiran / Nakhl e Taqi",2057,"unknown"
"ED50(ED77) / UTM zone 38N",2058,"unknown"
"ED50(ED77) / UTM zone 39N",2059,"unknown"
"ED50(ED77) / UTM zone 40N",2060,"unknown"
"ED50(ED77) / UTM zone 41N",2061,"unknown"
"Madrid 1870 (Madrid) / Spain LCC",2062,"unknown"
"S-JTSK (Ferro) / Krovak",2065,"unknown"
"Mount Dillon / Tobago Grid",2066,"unknown"
"Naparima 1955 / UTM zone 20N",2067,"unknown"
"ELD79 / Libya zone 5",2068,"unknown"
"ELD79 / Libya zone 6",2069,"unknown"
"ELD79 / Libya zone 7",2070,"unknown"
"ELD79 / Libya zone 8",2071,"unknown"
"ELD79 / Libya zone 9",2072,"unknown"
"ELD79 / Libya zone 10",2073,"unknown"
"ELD79 / Libya zone 11",2074,"unknown"
"ELD79 / Libya zone 12",2075,"unknown"
"ELD79 / Libya zone 13",2076,"unknown"
"ELD79 / UTM zone 32N",2077,"unknown"
"ELD79 / UTM zone 33N",2078,"unknown"
"ELD79 / UTM zone 34N",2079,"unknown"
"ELD79 / UTM zone 35N",2080,"unknown"
"Chos Malal 1914 / Argentina 2",2081,"unknown"
"Pampa del Castillo / Argentina 2",2082,"unknown"
"Hito XVIII 1963 / Argentina 2",2083,"unknown"
"Hito XVIII 1963 / UTM zone 19S",2084,"unknown"
"ELD79 / TM 12 NE",2087,"unknown"
"Carthage / TM 11 NE",2088,"unknown"
"Yemen NGN96 / UTM zone 38N",2089,"unknown"
"Yemen NGN96 / UTM zone 39N",2090,"unknown"
